id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_22951_00427		C8H8N2	7.256		missing SMILES		
draft_22951_00428		C13H18NO3P	7.256		missing SMILES		
draft_22951_00429		C7H8N2O	7.257000000000001		missing SMILES		
draft_22951_00430		C9H10N2O	7.265		missing SMILES		
draft_22951_00431		C9H22N2	7.266		missing SMILES		
draft_22951_00432		C7H9N	7.266		missing SMILES		
draft_22951_00433		C9H7N	7.266		missing SMILES		
draft_22951_00434		C7H6N2	7.266		missing SMILES		
draft_22951_00435		C8H7NO2	7.266		missing SMILES		
draft_22951_00436		C10H20N2O2	7.275		missing SMILES		
draft_22951_00437		C9H11NO	7.275		missing SMILES		
draft_22951_00438		C17H31N5O2	7.275499999999999		missing SMILES		
draft_22951_00439		C10H8N4O	7.276		missing SMILES		
draft_22951_00440		C12H12N2	7.277		missing SMILES		
draft_22951_00441		C7H10N2	7.286		missing SMILES		
draft_22951_00442		C11H15N3O4	7.287000000000001		missing SMILES		
draft_22951_00443		C12H22N2O	7.2905		missing SMILES		
draft_22951_00444		C6H11NO	7.292		missing SMILES		
draft_22951_00445		C5H13N	7.293		missing SMILES		
draft_22951_00446		C9H14N2O	7.296		missing SMILES		
draft_22951_00447		C10H8N2O3	7.296		missing SMILES		
draft_22951_00448		C10H22N2O	7.306		missing SMILES		
draft_22951_00449		C10H20N2O2	7.306		missing SMILES		
draft_22951_00450		C16H20N4	7.306		missing SMILES		
draft_22951_00451		C10H12N2O	7.308000000000001		missing SMILES		
draft_22951_00452		C9H8N2	7.316		missing SMILES		
draft_22951_00453		C9H20N2O	7.316		missing SMILES		
draft_22951_00454		C20H36N6O2	7.316999999999999		missing SMILES		
draft_22951_00455		C7H10N2	7.318		missing SMILES		
draft_22951_00456		C10H10N4	7.318		missing SMILES		
draft_22951_00457		C10H18N2	7.326		missing SMILES		
draft_22951_00458		C10H15N3O	7.326		missing SMILES		
draft_22951_00459		C14H16N4	7.3305		missing SMILES		
draft_22951_00460		C10H11N3	7.331		missing SMILES		
draft_22951_00461		C11H13N3O2	7.336		missing SMILES		
draft_22951_00464		C8H9NO2	7.338999999999999		missing SMILES		
draft_22951_00465		C8H9NO	7.346999999999999		missing SMILES		
draft_22951_00466		C8H21N3	7.349		missing SMILES		
draft_22951_00467		C13H17N3O2	7.356		missing SMILES		
draft_22951_00468		C8H8N2	7.359		missing SMILES		
draft_22951_00469		C12H29N3	7.366		missing SMILES		
draft_22951_00470		C9H20N2O	7.367999999999999		missing SMILES		
draft_22951_00471		C7H15N	7.37		missing SMILES		
draft_22951_00472		C13H14N2	7.37		missing SMILES		
draft_22951_00473		C7H8N4O	7.376		missing SMILES		
draft_22951_00474		C7H10N2O	7.377		missing SMILES		
draft_22951_00475		C9H9NO3	7.38		missing SMILES		
draft_22951_00476		C7H14N2	7.385499999999999		missing SMILES		
draft_22951_00477		C10H10N2O3	7.386		missing SMILES		
draft_22951_00479		C10H21N3O	7.388		missing SMILES		
draft_22951_00480		C10H22N2	7.39		missing SMILES		
draft_22951_00481		C10H22N	7.398		missing SMILES		
draft_22951_00482		C15H15N3O2	7.407		missing SMILES		
draft_22951_00483		C13H14NO2	7.411		missing SMILES		
draft_22951_00485		C8H9NO2	7.421		missing SMILES		
draft_22951_00486		C5H15N3	7.422		missing SMILES		
draft_22951_00487		C7H10N2	7.422		missing SMILES		
draft_22951_00488		C8H12N4O2	7.431		missing SMILES		
draft_22951_00489		C8H11N	7.432		missing SMILES		
draft_22951_00490		C6H8N2	7.441999999999999		missing SMILES		
draft_22951_00491		C13H10N4O2	7.447		missing SMILES		
draft_22951_00492		C7H15N3S	7.447999999999999		missing SMILES		
draft_22951_00493		C15H25N3	7.452		missing SMILES		
draft_22951_00494		C8H10N2O	7.452		missing SMILES		
